# run: ./pt -T 11 1.5 1.6 1.7 1.8 1.9 2.0 2.1 2.2 2.3 2.4 2.5 40 1000 
# Info realisation 1000:numb. clusters=1, id_largest=0, size_largest = 1600
# time n x(energy mag mag2)
29 -1.922500 0.980000 0.980000  -1.932500 0.981250 0.981250  -1.892500 0.970000 0.970000  -1.872500 0.962500 0.962500  -1.875000 0.963750 0.963750  -1.717500 0.901250 0.901250  -1.685000 0.887500 0.887500  -1.380000 0.542500 0.542500  -1.292500 0.353750 0.353750  -1.270000 0.108750 0.108750  -1.122500 0.172500 0.172500  
30 -1.927500 0.977500 0.977500  -1.965000 0.990000 0.990000  -1.887500 0.967500 0.967500  -1.807500 0.940000 0.940000  -1.817500 0.943750 0.943750  -1.692500 0.875000 0.875000  -1.642500 0.862500 0.862500  -1.417500 0.575000 0.575000  -1.410000 0.435000 0.435000  -1.212500 0.016250 0.016250  -1.142500 0.170000 0.170000  
31 -1.950000 0.983750 0.983750  -1.947500 0.985000 0.985000  -1.917500 0.977500 0.977500  -1.890000 0.967500 0.967500  -1.880000 0.962500 0.962500  -1.692500 0.873750 0.873750  -1.662500 0.857500 0.857500  -1.460000 0.586250 0.586250  -1.305000 0.082500 0.082500  -1.317500 0.322500 0.322500  -1.097500 0.063750 0.063750  
32 -1.950000 0.983750 0.983750  -1.967500 0.991250 0.991250  -1.897500 0.972500 0.972500  -1.847500 0.956250 0.956250  -1.850000 0.955000 0.955000  -1.725000 0.918750 0.918750  -1.642500 0.852500 0.852500  -1.490000 0.568750 0.568750  -1.382500 0.052500 0.052500  -1.140000 0.117500 0.117500  -1.207500 0.360000 0.360000  
33 -1.965000 0.991250 0.991250  -1.912500 0.976250 0.976250  -1.860000 0.958750 0.958750  -1.865000 0.952500 0.952500  -1.850000 0.958750 0.958750  -1.760000 0.926250 0.926250  -1.702500 0.881250 0.881250  -1.347500 0.488750 0.488750  -1.427500 0.092500 0.092500  -1.187500 0.322500 0.322500  -1.255000 0.250000 0.250000  
34 -1.932500 0.981250 0.981250  -1.942500 0.983750 0.983750  -1.885000 0.967500 0.967500  -1.882500 0.966250 0.966250  -1.820000 0.945000 0.945000  -1.715000 0.903750 0.903750  -1.660000 0.857500 0.857500  -1.337500 0.465000 0.465000  -1.302500 0.058750 0.058750  -1.217500 0.228750 0.228750  -1.130000 0.233750 0.233750  
35 -1.965000 0.988750 0.988750  -1.940000 0.980000 0.980000  -1.930000 0.978750 0.978750  -1.892500 0.967500 0.967500  -1.740000 0.911250 0.911250  -1.735000 0.915000 0.915000  -1.620000 0.826250 0.826250  -1.445000 0.490000 0.490000  -1.300000 0.042500 0.042500  -1.170000 0.138750 0.138750  -1.130000 0.273750 0.273750  
36 -1.937500 0.982500 0.982500  -1.960000 0.990000 0.990000  -1.905000 0.973750 0.973750  -1.860000 0.958750 0.958750  -1.795000 0.940000 0.940000  -1.740000 0.900000 0.900000  -1.690000 0.891250 0.891250  -1.430000 0.433750 0.433750  -1.400000 0.083750 0.083750  -1.190000 0.273750 0.273750  -1.027500 0.245000 0.245000  
37 -1.962500 0.988750 0.988750  -1.910000 0.976250 0.976250  -1.912500 0.976250 0.976250  -1.810000 0.931250 0.931250  -1.877500 0.966250 0.966250  -1.705000 0.887500 0.887500  -1.700000 0.897500 0.897500  -1.405000 0.505000 0.505000  -1.310000 0.047500 0.047500  -1.167500 0.380000 0.380000  -1.147500 0.281250 0.281250  
38 -1.935000 0.976250 0.976250  -1.935000 0.980000 0.980000  -1.942500 0.983750 0.983750  -1.865000 0.961250 0.961250  -1.807500 0.942500 0.942500  -1.730000 0.900000 0.900000  -1.757500 0.912500 0.912500  -1.402500 0.528750 0.528750  -1.387500 0.122500 0.122500  -1.235000 0.277500 0.277500  -1.170000 0.437500 0.437500  
39 -1.932500 0.981250 0.981250  -1.962500 0.990000 0.990000  -1.937500 0.983750 0.983750  -1.872500 0.963750 0.963750  -1.840000 0.948750 0.948750  -1.792500 0.931250 0.931250  -1.635000 0.875000 0.875000  -1.430000 0.573750 0.573750  -1.302500 0.107500 0.107500  -1.242500 0.305000 0.305000  -1.145000 0.453750 0.453750  
40 -1.962500 0.990000 0.990000  -1.940000 0.983750 0.983750  -1.920000 0.978750 0.978750  -1.847500 0.952500 0.952500  -1.810000 0.941250 0.941250  -1.717500 0.876250 0.876250  -1.695000 0.905000 0.905000  -1.405000 0.635000 0.635000  -1.355000 0.020000 0.020000  -1.310000 0.353750 0.353750  -1.150000 0.358750 0.358750  
41 -1.957500 0.988750 0.988750  -1.937500 0.981250 0.981250  -1.892500 0.971250 0.971250  -1.850000 0.958750 0.958750  -1.850000 0.950000 0.950000  -1.705000 0.897500 0.897500  -1.730000 0.908750 0.908750  -1.417500 0.715000 0.715000  -1.220000 0.013750 0.013750  -1.150000 0.360000 0.360000  -1.205000 0.251250 0.251250  
42 -1.932500 0.978750 0.978750  -1.900000 0.971250 0.971250  -1.920000 0.978750 0.978750  -1.845000 0.945000 0.945000  -1.790000 0.925000 0.925000  -1.710000 0.888750 0.888750  -1.632500 0.855000 0.855000  -1.440000 0.703750 0.703750  -1.292500 0.485000 0.485000  -1.250000 0.038750 0.038750  -1.130000 0.131250 0.131250  
43 -1.940000 0.982500 0.982500  -1.900000 0.971250 0.971250  -1.890000 0.970000 0.970000  -1.857500 0.952500 0.952500  -1.817500 0.941250 0.941250  -1.707500 0.901250 0.901250  -1.682500 0.881250 0.881250  -1.510000 0.733750 0.733750  -1.477500 0.671250 0.671250  -1.200000 0.055000 0.055000  -1.095000 0.115000 0.115000  
44 -1.947500 0.986250 0.986250  -1.925000 0.975000 0.975000  -1.847500 0.952500 0.952500  -1.827500 0.947500 0.947500  -1.847500 0.953750 0.953750  -1.705000 0.890000 0.890000  -1.690000 0.888750 0.888750  -1.615000 0.833750 0.833750  -1.482500 0.678750 0.678750  -1.220000 0.052500 0.052500  -1.120000 0.026250 0.026250  
45 -1.930000 0.981250 0.981250  -1.867500 0.951250 0.951250  -1.887500 0.967500 0.967500  -1.835000 0.938750 0.938750  -1.810000 0.940000 0.940000  -1.807500 0.945000 0.945000  -1.722500 0.903750 0.903750  -1.437500 0.637500 0.637500  -1.480000 0.761250 0.761250  -1.202500 0.080000 0.080000  -1.205000 0.026250 0.026250  
